Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY
10/4/2016,STTD,11:33,,16.3,0.23,166,199,7.23,8.33,35.6,TRUE,2285,0.07,1734.2,0.26,1143.4,0.45,570.9,1.48,22.81,WY17
10/5/2016,SHR,10:25,,16.04,2.1,94,113,7.68,10.15,4.6,TRUE,2199,0.04,1639,0.21,1109,1.11,544,2.17,219,WY17
10/19/2016,SHR,10:30,,15.6,1.7,98,117,7.17,9.77,5.24,TRUE,2489,0.04,1830,0.14,1214.3,0.74,637,2.22,146.3,WY17
10/18/2016,STTD,9:13,,17.03,0.3,153,180,7.35,8.81,27.7,TRUE,2099,0.07,1569.3,0.22,1039.5,0.46,526.1,1.47,22.32,WY17
11/29/2016,SHR,10:15,1,10.3,0.75,115,161,7.42,10.07,12.6,TRUE,1119,0.04,837.3,0.13,529.1,0.51,277.2,2.19,11.45,WY17
11/28/2016,STTD,9:28,,12.1,0.54,280,371,7.79,8.67,12.9,TRUE,606.4,0.04,462.3,0.06,301.6,0.29,156.33,1.58,6.11,WY17
11/18/2016,SHR,9:47,,13.2,1.3,133,172,7.67,9.45,4.7,TRUE,2203,0.05,1618,0.07,1109,0.75,544.9,2.55,79.09,WY17
11/14/2016,STTD,9:00,,16.7,0.77,197,234,7.99,8.29,11.1,TRUE,1997.6,0.04,1477.7,0.12,986.5,0.49,497.8,2.25,19.8,WY17
11/1/2016,SHR,10:00,,15.1,0.81,130.9,161.5,7.42,8.72,7.6,TRUE,2466,0.08,1768.8,0.17,1218.3,0.58,609.8,2.08,39.21,WY17
10/31/2016,STTD,9:18,,17,0.48,160.6,188.7,7.73,8.02,17.1,TRUE,1264,0.04,97.1,0.19,632,0.41,297,1.49,13.54,WY17
12/13/2016,STTD,9:17,1,9.9,0.48,463,463,7.74,8.26,17.7,TRUE,429.4,0.03,326.9,0.06,218.3,0.23,110.14,1.35,4.78,WY17
12/14/2016,SHR,8:28,1,10,0.16,76,106.5,7.27,10.12,73.5,TRUE,412.9,0.04,304.9,0.09,206.7,0.2,100.82,0.68,4.12,WY17
12/21/2016,SHR,8:16,1,8.4,0.23,72,105,7.24,10.39,44.1,TRUE,323.1,0.04,240.7,0.08,162.8,0.23,80.67,0.94,2.94,WY17
12/21/2016,STTD,13:21,,8.6,0.13,105,153,7.45,8.19,72.2,TRUE,1974.4,0.07,1407.3,0.09,987.2,0.15,456,0.6,19.84,WY17
12/27/2016,STTD,10:00,1,6.2,0.32,281,438,7.56,9.01,35.4,TRUE,1893.1,0.05,1479.4,0.07,960.4,0.13,495,0.83,18.42,WY17
12/29/2016,SHR,8:12,1,7.4,0.35,85,128,7.52,10.97,20.7,TRUE,1450.9,0.05,1055.6,0.06,778.4,0.12,363.5,1.3,14.24,WY17
1/10/2017,SHR,9:41,1,9.6,0.13,45,63.8,6.79,11.46,98.7,TRUE,338.5,0.04,254,0.08,168.9,0.15,84.8,0.52,3.4,WY17
1/11/2017,STTD,10:50,1,10.3,0.13,,72,7.27,10.32,95.8,FALSE,,,,,,,,,,WY17
1/18/2017,STTD,11:00,,8.2,0.21,67,98,7.1,10.36,44,TRUE,73.55,0.07,50.21,0.14,38.39,0.3,18.67,1.08,0.076,WY17
1/23/2017,SHR,9:45,1,8.8,0.16,66,96.3,7.36,11.03,55,TRUE,2268,0.07,1737.2,0.09,1171.8,0.18,588,0.74,23.1,WY17
1/24/2017,STTD,9:20,1,8.8,0.14,78,113,7.44,10.47,73.6,TRUE,1901.9,0.05,1457.6,0.09,981.5,0.18,478.7,0.82,19.08,WY17
2/2/2017,STTD,10:10,1,9.4,0.23,130.8,186,7.48,9.59,37.7,TRUE,1880.7,0.03,1462.9,0.08,943.3,0.29,471.5,1.11,18.37,WY17
2/6/2017,STTD,10:45,1,10.9,0.23,114,156,7.62,10.14,43.6,TRUE,365.8,0.05,277.5,0.13,180.1,0.32,91.7,0.96,0.368,WY17
2/7/2017,SHR,9:00,,9.6,0.45,59.1,84,7.5,11.53,28.5,TRUE,155.31,0.02,118.47,0.06,77.01,0.28,38.65,1.34,1.36,WY17
2/16/2017,STTD,11:50,,10.1,0.2,54.4,76,7.4,11.15,49.8,TRUE,505.2,0.02,378,0.12,256.4,0.28,126.6,0.93,5.39,WY17
2/22/2017,STTD,9:30,,10,0.18,52.7,73.9,7.58,10.99,51.8,TRUE,2558,0.045,1927.8,0.12,1213.6,0.24,649.5,0.92,26.16,WY17
2/23/2017,SHR,8:08,,9.2,0.21,46,65.8,7.51,11.8,42.2,TRUE,1979.5,0.04,1491.6,0.07,947.6,0.16,493.5,0.93,20.1,WY17
3/8/2017,SHR,8:05,,9.8,0.22,87,123,7.49,10.68,37.4,TRUE,2117,0.06,1619,0.11,1024,0.22,513,1.01,21.67,WY17
3/9/2017,STTD,10:12,1,11.7,0.21,107,144,7.61,10.15,36,TRUE,2486,0.13,1866.6,0.26,1245.6,0.44,628.9,0.85,93.6,WY17
3/14/2017,STTD,9:40,1,17.2,0.29,340,400,8.09,10.19,22.9,TRUE,2085,0.08,1563.8,0.17,1045.4,0.37,528.8,0.9,63.12,WY17
3/22/2017,STTD,9:30,1,15.5,0.42,297,363,8.14,8.91,27.3,TRUE,988.7,0.04,760,0.1,493.9,0.35,243.4,1.09,11.63,WY17
3/21/2017,SHR,10:52,1,11.7,0.4,79,106.5,7.59,10.86,31.9,TRUE,2600,0.07,1941,0.24,1293,0.42,676,1.33,28,WY17
4/5/2017,STTD,9:46,1,17,0.26,414,489,8.14,8.33,33.8,TRUE,2060,0.04,1550,0.1,1034,0.26,509,0.9,21.6,WY17
4/4/2017,SHR,8:40,,13.5,0.3,98,125,7.56,10.31,26.5,TRUE,1857,0.03,1380.6,0.15,924.9,0.31,464.9,1.29,18.9,WY17
3/28/2017,STTD,9:05,,13.4,0.33,157,201,7.84,9.94,21.8,TRUE,2119,0.05,1584.4,0.17,1058.5,0.33,530.4,1.37,20.89,WY17
5/5/2017,STTD,10:25,1,20.1,0.21,225,249,8.09,8.11,28.8,TRUE,2140,0.09,1611.4,0.2,1079.2,0.34,533.7,1,44.4,WY17
5/4/2017,SHR,10:08,1,16.4,0.42,83,100,7.55,9.73,14.7,TRUE,2472,0.09,1852,0.29,1231,0.65,643,2.09,29,WY17
4/26/2017,STTD,9:49,1,15.7,0.41,99.3,121,7.11,9.53,18,TRUE,529.8,0.04,391.1,0.09,267.4,0.4,128.8,0.96,6.2,WY17
4/19/2017,SHR,8:48,1,12.1,1,66,87.4,7.25,11.02,18.8,TRUE,2231,0.04,1696,0.12,1154,0.42,551,1.59,25,WY17
4/18/2017,STTD,9:40,1,13.4,0.33,100,129,7.24,9.26,22,TRUE,2524,0.07,1811,0.29,1282,0.47,626,1.13,19.3,WY17
4/13/2017,STTD,10:09,1,14.7,0.26,114,217,7.9,9.14,27.7,TRUE,914.5,0.14,686.2,0.24,455.3,0.6,228.9,100,43.2,WY17
6/13/2017,SHR,8:15,1,16.5,1.2,88.7,106,7.46,9.29,14,TRUE,2004,0.03,1522,0.1,1007,0.42,502,1.86,24.2,WY17
6/12/2017,STTD,10:30,,21,0.17,551,596,7.75,4.82,54,TRUE,2422,0.03,1826,0.14,1224,0.21,608,0.67,25,WY17
5/31/2017,SHR,9:18,,16.9,,75,88,7.14,9.55,11,TRUE,1268,0.04,946.5,0.36,649,0.69,323.2,2.1,30.62,WY17
5/30/2017,STTD,11:05,1,21.9,0.2,644,685,7.95,6.5,38.6,TRUE,2125,0.98,1598,0.17,1070,0.29,530,0.47,21.74,WY17
5/16/2017,STTD,10:10,1,19.1,0.32,473,533,7.94,6.97,23.4,TRUE,1489.7,0.04,1126,0.1,745.5,0.26,369.7,1.07,14.23,WY17
5/17/2017,SHR,7:38,1,14.5,1,70.6,88.3,7.09,10.17,21.4,TRUE,2079,0.05,1567,0.16,1005,0.37,519.8,1.48,20.06,WY17
5/9/2017,STTD,10:23,1,21.6,0.2,476,510,7.99,6.24,45.6,TRUE,2300,0.13,1718.2,0.21,1146.3,0.3,568.1,0.73,24.53,WY17
6/27/2017,SHR,8:56,1,20.6,1.8,88.4,96.5,7.1,8.76,4.5,TRUE,2301,0.05,1732,0.33,1153,0.86,575,2.18,130,WY17
7/18/2017,SHR,8:42,1,22.3,1.7,104,110,7.58,8.5,7.6,TRUE,2205,0.06,1657,0.17,1104,0.76,552,2.35,40,WY17
8/1/2017,SHR,8:55,,21.8,,98,104,7.79,8.64,8.2,TRUE,1916.7,0.04,1481,0.21,963,0.71,490,2.45,57.9,WY17
8/29/2017,SHR,9:05,1,21.2,0.9,111,120,7.77,8.53,8.1,TRUE,1987.7,0.1,1474,0.21,997,0.72,493,2.49,22.71,WY17
8/15/2017,SHR,9:36,1,20.6,0.85,102,111,7.52,8.66,8.4,TRUE,2274,0.04,1712,0.26,1131,0.78,568,2.42,75,WY17
9/12/2017,SHR,10:15,1,20.4,,117,127,7.54,8.79,4.2,TRUE,2994,0.04,2219,0.3,1495,0.62,748,2.21,92.12,WY17
9/20/2017,STTD,10:20,,20.4,0.35,170.4,186.8,7.72,7.97,14.7,TRUE,2101,0.05,1575,0.21,1056,0.51,522,1.8,21.3,WY17
9/19/2017,SHR,9:35,,18.9,0.95,101,116,7.55,9.14,3.5,TRUE,2213,0.09,1688.5,0.29,1114.9,0.86,553.1,2.49,95.02,WY17
10/3/2017,SHR,9:48,,16,1.01,81,98,7.81,9.64,1.2,TRUE,2309,0.04,1771,0.24,1168.9,1,573.2,2.28,130.06,WY18
10/4/2017,STTD,10:05,,16.9,0.39,144,171,7.73,8.61,11.9,TRUE,2187,0.07,1629.5,0.22,1096,0.57,543.8,1.8,21.42,WY18
10/17/2017,SHR,9:50,,14.8,1.5,90,112,7.17,9.88,0.6,TRUE,1237.9,0.08,923.2,0.22,618.9,1.53,209.1,2.18,70.91,WY18
10/19/2017,STTD,10:14,1,15.9,0.62,131,159,7.82,9.59,9.1,TRUE,946,0.02,708,0.06,474,0.32,235.8,2.03,9.63,WY18
11/1/2017,SHR,9:37,,15.1,1.5,98,121,7.64,9.48,3.63,TRUE,2243,0.04,1662.3,0.07,1115.2,0.65,565.3,2.49,83.05,WY18
11/2/2017,STTD,9:27,,15.7,0.43,132,161,7.22,8.63,15.2,TRUE,456,0.03,343.6,0.05,227,0.45,114.5,1.66,4.61,WY18
11/14/2017,SHR,9:20,,13.8,1,132,168,7.11,9.28,9.2,TRUE,2343,0.05,1757,0.07,1177.2,0.44,586.5,2.18,23.9,WY18
11/15/2017,STTD,9:07,1,14.4,0.9,144,181,7.78,9.22,7.5,TRUE,440.2,0.01,340,0.05,220,0.18,109.5,2.09,4.4,WY18
11/28/2017,SHR,9:30,,13,0.8,137,178,7.56,9.31,11.3,TRUE,2265,0.01,1678.1,0.03,1152.6,0.12,568.2,1.5,22.47,WY18
11/29/2017,STTD,8:50,,13,0.36,214,277,7.52,8.02,18.1,TRUE,1984.8,0.04,1448.5,0.08,990.3,0.29,496.6,1.24,19.9,WY18
12/13/2017,STTD,9:41,,8.3,0.75,159,234,7.16,10.91,8.7,TRUE,1883.5,0.05,1436,0.12,947.6,0.56,470.6,2.18,30.27,WY18
12/14/2017,SHR,9:32,,9.4,1.28,115,163,7.51,10.97,5.1,TRUE,2041,0.04,1542,0.06,1027,0.47,513,1.92,48.6,WY18
12/19/2017,SHR,9:50,,9.2,0.7,116,166,7.43,11.07,8.6,TRUE,1118.2,0.02,853.9,0.04,568.8,0.3,271.5,1.91,29.8,WY18
12/20/2017,STTD,10:00,,8.7,0.45,157,228,6.96,11.36,15.2,TRUE,2136,0.04,1644.3,0.07,1079.5,0.31,530.6,1.88,21.84,WY18
1/4/2018,SHR,9:24,1,9.8,1,114,161,7.54,11,5.7,TRUE,520.6,0.03,391.5,0.05,260.9,0.56,130.3,2.19,13.72,WY18
1/2/2018,STTD,10:49,1,8.6,0.69,439,640,7.89,10.9,7.5,TRUE,656,0.02,473,0.05,337,0.29,164.3,1.92,8.25,WY18
1/18/2018,SHR,9:27,,11.2,0.7,144,196,7.39,9.97,17.9,TRUE,285.8,0.02,216,0.05,142.3,0.33,77,1.78,2.8,WY18
1/17/2018,STTD,9:45,,11.4,0.37,431,583,7.55,6.87,24.3,TRUE,281.8,0.02,208.3,0.05,141.99,0.22,70.62,1.09,2.82,WY18
2/28/2018,STTD,9:54,,9.2,0.34,615,881,8.09,11.65,17.6,TRUE,1957.8,0.04,1461.6,0.12,976.9,0.37,489.5,1.42,19.78,WY18
2/27/2018,SHR,10:17,,9.2,0.9,123,176,7.48,11.09,9.7,TRUE,2413,0.05,1807.4,0.18,1207.4,0.58,602.8,1.21,24.21,WY18
1/30/2018,STTD,9:50,,10.3,0.33,478,665,7.77,8.86,26.2,TRUE,771.01,0.03,569.4,0.06,384.9,0.27,193,1.17,7.76,WY18
1/31/2018,SHR,10:11,,10,0.5,121,169,7.67,10.81,15.1,TRUE,2219,0.05,1639.8,0.17,1115.9,0.54,544.1,1.9,22.51,WY18
2/13/2018,STTD,9:15,,11.2,0.36,554,752,7.87,8.54,21.3,TRUE,2062,0.03,1545.7,0.08,1030.8,0.26,516.5,1.19,20.54,WY18
2/14/2018,SHR,10:02,,10.5,1,127,176,7.63,10.8,7.2,TRUE,726.9,0.03,549,0.05,362,0.5,181,2.3,14.8,WY18
3/14/2018,STTD,9:48,,14.9,0.37,640,793,7.95,7.56,21.2,TRUE,700.8,0.03,524.6,0.06,354,0.28,174.1,1.07,7.08,WY18
3/13/2018,SHR,9:40,,14,1,129,164,7.71,10.17,6.1,TRUE,498.8,0.01,372.9,0.04,246.2,0.35,124.7,1.92,16.3,WY18
3/28/2018,STTD,9:30,,14.6,0.23,568,707,7.99,8.37,38.7,TRUE,2017,0.04,1516.5,0.12,1001.2,0.22,501.4,0.83,19.61,WY18
3/29/2018,SHR,8:57,,12.6,0.44,81,106,7.45,10.2,22.3,TRUE,1918,0.04,1443,0.1,955,0.34,481,1.62,19.1,WY18
4/11/2018,SHR,9:18,,13.9,0.25,80,102,7.36,9.63,44.7,TRUE,899.9,0.04,684,0.09,436.7,0.26,212,1.07,8.23,WY18
4/10/2018,STTD,11:00,,16.6,0.12,211,252,7.71,7.75,111.2,TRUE,1365.6,0.03,1036.2,0.07,684.7,0.12,345.4,0.45,13.65,WY18
4/24/2018,SHR,10:50,,17.3,0.7,120.7,141.4,7.67,9.36,10.2,TRUE,2498,0.05,1860,0.27,1245.2,0.71,623.4,2.52,24.5,WY18
4/25/2018,STTD,9:45,,19.9,0.32,598,662,8.08,7.59,19.8,TRUE,2166,0.05,1625,0.12,1085.9,0.39,541.2,1.29,21.66,WY18
5/1/2018,STTD,9:40,,18.6,0.27,607,691,8.22,8.18,28.6,TRUE,2053,0.07,1527.7,0.12,1028.8,0.37,515.8,1.05,20.62,WY18
5/2/2018,SHR,10:12,1,16.9,1.45,110,142,7.93,9.65,2.9,TRUE,2446,0.05,1810.5,0.28,1229.2,1.11,610.6,2.19,207.7,WY18
5/15/2018,STTD,9:24,,18,0.22,403,465,8.38,8.13,29.3,TRUE,2153,0.06,1617,0.19,1081.8,0.36,537.7,1.12,21.56,WY18
5/16/2018,SHR,9:47,,18.7,1.4,109,124,7.82,9.06,3.3,TRUE,741.8,0.03,556,0.06,374,0.7,185.1,2.09,42.6,WY18
5/29/2018,SHR,9:46,1,20.1,0.75,135,149,7.56,8.91,8.3,TRUE,2364,0.04,1773.4,0.3,1183.3,0.84,591,2.19,67.7,WY18
5/30/2018,STTD,11:40,,22.2,0.38,233,247,8.14,8.04,20.3,TRUE,2559,0.08,1929.4,0.19,1280.2,0.46,635,1.5,25.72,WY18
6/13/2018,SHR,9:40,1,21.1,1.32,112.8,121.9,7.58,8.79,3.8,TRUE,2318,0.03,1765.3,0.32,1152.1,0.84,572.7,2.29,180.2,WY18
6/12/2018,STTD,10:09,,21.8,0.26,206,219,8.74,7.83,25.1,TRUE,2313,0.08,1734.5,0.26,1146.1,0.44,642.7,1.36,23.12,WY18
6/26/2018,STTD,9:47,1,22.5,0.33,184,193,7.73,7.43,22.5,TRUE,2138,17,1601.3,0.2,1078,0.47,536.4,1.54,21.2,WY18
6/27/2018,SHR,9:35,1,21.6,1.25,100,106,7.57,8.58,4.9,TRUE,2365,0.07,1775.5,0.24,1186.4,0.97,591.6,2.22,142.82,WY18
7/12/2018,SHR,9:15,1,21.7,1.1,98,104,7.55,8.62,6.7,TRUE,2520,0.07,1882.5,0.27,1254.2,0.89,630.1,2.5,102.41,WY18
7/25/2018,SHR,9:59,1,22.3,1.1,106,112,7.68,8.57,3.9,TRUE,2507,0.03,1885.1,0.23,1267.3,1,624,2.34,114.5,WY18
8/9/2018,SHR,9:05,1,20.3,0.9,124,137,7.56,8.56,8.3,TRUE,2157,0.05,1660.3,0.17,1089.2,0.73,535.1,2.49,30.91,WY18
8/23/2018,SHR,8:55,1,20.3,1.91,133,146,7.47,8.62,5.5,TRUE,2097,0.06,1579.6,0.27,1047.2,0.98,538.3,2.19,125.84,WY18
9/20/2018,SHR,9:45,1,18,1.7,111,128,7.7,9.06,8,TRUE,2357,0.05,1706.9,0.26,1170.1,0.96,583.3,2.5,103.75,WY18
10/11/2018,SHR,9:07,1,17.4,2.2,109,127,7.68,8.98,4.6,TRUE,2013,0.04,1530.6,0.12,1014.7,1.09,504.9,2.48,130.01,WY19
11/9/2018,SHR,9:29,1,12.8,3.5,106,138,7.84,9.87,4.6,TRUE,1966.2,0.04,1462.2,0.07,978.2,0.91,499.2,2.48,152.4,WY19
11/8/2018,STTD,9:42,1,14.4,0.52,174,218,8.29,9.07,16.2,TRUE,1891.6,0.05,1418.5,0.11,948.3,0.32,484.7,1.58,19.26,WY19
11/27/2018,SHR,9:20,1,12.4,1.15,141,185,7.56,9.33,7.5,TRUE,245.6,0.02,181.8,0.06,128.8,0.25,61.8,2.48,3.85,WY19
11/26/2018,STTD,10:20,1,11.8,0.56,190,254,7.81,9.6,14.9,TRUE,1566.2,0.05,1157,0.17,782.3,0.38,391.9,1.83,15.67,WY19
10/26/2018,SHR,9:01,1,15.9,,106,129,7.68,9.47,5.8,TRUE,1955.3,0.07,1453,0.1,975,0.77,498,2.48,115.5,WY19
