Date,StationCode,Time,MicrocystisVisualRank,WaterTemp,Secchi,EC,SpCnd,pH,DO,Turbidity,LightData,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,WY
12/12/2018,SHR,11:00,1,10.3,2.4,133,184,8.58,10.24,7.6,TRUE,2113,0.04,1568.2,0.06,1054,0.6,520.3,2.14,56.81,WY19
12/11/2018,STTD,10:45,1,10.2,0.92,374,521,9.11,9.55,9.8,TRUE,2042,0.03,1551,0.06,1012.8,0.38,513,2.07,20.37,WY19
12/27/2018,SHR,10:27,1,9.7,0.6,133,188,6.41,10.29,16.8,TRUE,2237,0.05,1679,0.09,1119.1,0.36,558.7,1.45,22.2,WY19
1/9/2019,SHR,9:06,1,8.9,0.38,113,163,7.44,10.62,30.9,TRUE,808.6,0.04,603.2,0.07,401.6,0.21,205.5,1.04,8.11,WY19
1/8/2019,STTD,9:53,1,8.5,0.21,373,545,7.66,9.75,40.7,TRUE,168.23,0.04,127,0.08,83.74,0.21,42.21,0.74,1.67,WY19
1/23/2019,SHR,9:45,1,10.4,0.14,108,150,7.67,9.7,74,TRUE,2265,0.05,1688.5,0.07,1131.8,0.15,566.9,0.5,22.67,WY19
1/22/2019,STTD,11:37,1,10.6,0.12,272,374,8.25,7.2,147.3,TRUE,2147,0.06,1658,0.09,1074,0.14,534.5,0.37,21.11,WY19
2/20/2019,SHR,9:18,1,8.5,0.2,87,127,7.47,10.59,57.4,TRUE,1511.3,0.01,1110.7,0.05,754.3,0.16,379.8,0.71,15.08,WY19
2/19/2019,STTD,10:34,1,7.6,0.1,69,103,7.81,10.69,94.4,TRUE,2204,0.07,1658.4,0.11,1105.6,0.17,548,0.53,21.16,WY19
2/27/2019,SHR,8:40,1,8.8,0.2,70,101,7.87,11.56,57.2,TRUE,330.4,0.06,235.4,0.09,162.12,0.2,81.02,0.63,3.13,WY19
2/26/2019,STTD,10:45,1,9.7,0.15,219,308,7.9,9.46,77.9,TRUE,188.47,0.03,141.51,0.08,94.54,0.18,46.93,0.71,1.9,WY19
2/4/2019,SHR,9:16,1,11.4,0.33,140,188,8.11,9.84,38.5,TRUE,3046,0.04,2259,0.09,1536,0.2,761,0.6,34.79,WY19
2/5/2019,STTD,10:25,1,10.4,0.07,331,458,7.6,8.41,120.1,TRUE,2427,0.06,1810.9,0.1,1214,0.12,611.8,0.4,24.17,WY19
3/20/2019,STTD,9:59,1,14.3,0.22,170,213,7.74,9.01,27.4,TRUE,1292.6,0.03,997.1,0.06,610.8,0.16,323.2,1.17,12.04,WY19
3/21/2019,SHR,8:44,1,12.4,0.4,108,142,7.64,10.35,20.7,TRUE,1978.4,0.05,1487.6,0.09,981.2,0.24,496.6,1.3,20.4,WY19
3/28/2019,STTD,10:00,1,14,0.28,349,441,8.13,9.02,23.3,TRUE,1604.8,0.05,1229,0.17,806.7,0.42,401.6,1.22,19.4,WY19
3/29/2019,SHR,9:05,1,11.5,0.3,98,124,7.69,10.66,23.4,TRUE,2048,0.03,1542.6,0.06,1022,0.27,512.2,1.16,20.8,WY19
4/3/2019,STTD,10:25,1,14.9,0.35,182,225,7.84,8.83,24.8,TRUE,2184,0.07,1636.2,0.2,1082.5,0.38,556.3,1.19,45.65,WY19
4/4/2019,SHR,9:25,1,12.6,0.4,88,115,7.47,10.44,17.9,TRUE,814.8,0.02,614.1,0.04,409.3,0.38,203.1,1.5,11.6,WY19
4/8/2019,STTD,9:56,1,16.6,0.32,161,191,7.75,8.73,22.4,TRUE,2258,0.1,1621,0.31,1140,0.62,583,1.52,34,WY19
4/9/2019,SHR,9:10,1,12.8,0.35,78,101,7.77,10.69,21.3,TRUE,2143,0.06,1608.6,0.16,1070.6,0.38,535.1,1.4,22.55,WY19
4/15/2019,STTD,11:06,1,,0.21,,,7.78,13.16,39.9,TRUE,565,0.05,426.3,0.1,285.3,0.3,142.02,0.48,55.95,WY19
4/16/2019,SHR,9:13,1,11,0.4,76,104,7.53,10.61,18.3,TRUE,1843,0.09,1375.9,0.22,921.4,0.58,460.02,1.62,27,WY19
4/23/2019,SHR,9:10,1,15.3,0.5,96,118,7.87,10.01,16.7,TRUE,1901.07,0.06,1421.7,0.24,946.1,0.54,474.6,1.84,18.8,WY19
4/22/2019,STTD,9:58,1,17.8,0.33,283,328,8.02,8.11,23.1,TRUE,2242,0.08,1642.4,0.17,1117,0.35,565.7,1.19,23,WY19
7/2/2019,SHR,9:56,1,20.3,1.23,87,96,7.79,8.86,7.8,TRUE,2229,0.03,1634,0.36,1122,1.07,550,1.93,178,WY19
7/1/2019,STTD,9:27,1,22.2,0.3,259,274,8.62,7.68,26.2,TRUE,2101,0.08,1158,0.2,1052.2,0.36,520.7,1.31,21.8,WY19
6/17/2019,STTD,10:15,1,21.8,0.29,375,399,8.38,7.14,28.6,TRUE,2147,0.05,1620.2,0.15,1070.1,0.32,535,1.1,21.73,WY19
6/18/2019,SHR,9:36,1,19.5,1.2,95,106,6.9,9,6.8,TRUE,2318,0.04,1739.2,0.27,1160.9,0.92,577.9,2,131.16,WY19
7/15/2019,STTD,9:23,1,24,0.33,218,222,8.45,7.39,24.4,TRUE,2034,0.06,1534,0.16,1011,0.36,508,1.54,20.35,WY19
7/16/2019,SHR,9:40,1,22,1.01,100,106,7.78,8.48,9.1,TRUE,1466.3,0.06,1467.7,0.49,734.5,0.97,371.6,2.19,82.21,WY19
8/5/2019,SHR,9:14,1,21.2,1.4,104,112,7.76,8.67,8,TRUE,2335,0.06,1746,0.23,1165,0.86,589,2.22,120,WY19
8/7/2019,STTD,12:39,1,24.1,0.4,191,194,8.62,7.87,21.1,TRUE,2354,0.03,1700.9,0.22,1163.6,0.44,586,1.71,24.58,WY19
8/7/2019,STTD,12:49,1,24.1,0.4,191,194,8.62,7.87,21.1,TRUE,,,,,,,,,,WY19
8/19/2019,SHR,10:00,1,20.6,1,104,114,7.5,8.7,9.3,TRUE,2212,0.05,1643,0.28,1128,0.93,553,2.1,135,WY19
8/21/2019,STTD,12:20,1,23.9,0.32,187,192,8.55,8.07,22.3,TRUE,2438,0.06,1847.2,0.29,1224,0.58,607.7,1.66,24.47,WY19
9/4/2019,STTD,12:02,1,24.9,0.26,546,547,7.81,5.73,26.6,TRUE,2847,0.07,2129,0.21,1421.6,0.41,716.5,1.13,28.77,WY19
9/5/2019,SHR,9:45,1,19.9,1,110,122,7.41,8.86,10.2,TRUE,982.4,0.02,736.7,0.05,499.4,0.3,246.2,2.48,19.38,WY19
9/16/2019,SHR,9:40,1,18.5,1.2,107,122,7.44,9.22,6.3,TRUE,259.1,0.02,193.42,0.05,130.66,0.65,64.3,2.19,11.6,WY19
9/18/2019,STTD,11:59,1,21.8,0.3,569,606,7.79,6.03,27.6,TRUE,2394,0.08,1786,0.13,1194,0.48,590.7,1.45,23,WY19
9/30/2019,SHR,9:23,1,16.6,1.8,96,114,7.31,9.23,9.5,TRUE,2218,0.04,1654.5,0.1,1196,0.65,557.7,2.19,94.3,WY19
5/20/2019,STTD,10:10,1,16.6,0.21,559,666,7.83,6.74,36.1,FALSE,,,,,,,,,,WY19
10/4/2016,LIS,10:31,,17.47,0.2,200,233,7.45,6.48,75.9,FALSE,,,,,,,,,,
10/18/2016,LIS,9:27,,16.94,0.2,183,216,7.22,8.01,55.8,FALSE,,,,,,,,,,
10/31/2016,LIS,11:27,,16.9,0.23,198,235,7.56,6.88,48.2,FALSE,,,,,,,,,,
11/14/2016,LIS,10:48,,16.6,0.21,295.4,351.5,7.55,4.52,38.1,FALSE,,,,,,,,,,
11/21/2016,LIS,10:07,,14,0.17,294.8,373.5,7.03,5.53,43.9,FALSE,,,,,,,,,,
11/28/2016,LIS,11:31,,11.3,0.35,563,763,7.71,7.54,24.7,FALSE,,,,,,,,,,
12/13/2016,LIS,12:39,1,10.5,0.25,450,623,7.67,6.23,41.7,FALSE,,,,,,,,,,
12/20/2016,LIS,9:02,1,8.2,0.14,87,129,7.42,8.72,87.3,FALSE,,,,,,,,,,
12/21/2016,LIS,15:31,1,8.8,0.18,94,136,7.49,8.66,56.8,FALSE,,,,,,,,,,
12/27/2016,LIS,13:08,1,6.6,0.26,308,472,7.9,9.21,42.2,FALSE,,,,,,,,,,
1/11/2017,LIS,12:26,1,10.3,0.12,49,67,7.47,10.42,90.3,FALSE,,,,,,,,,,
1/18/2017,LIS,15:50,,8.2,0.21,74,109,7.4,10.65,54.3,FALSE,,,,,,,,,,
1/24/2017,LIS,15:27,1,9.5,0.19,79.5,113,7.57,10.57,58.7,FALSE,,,,,,,,,,
1/31/2017,LIS,12:49,,9.2,0.3,,116,7.77,10.38,33.4,FALSE,,,,,,,,,,
2/6/2017,LIS,15:00,,11.3,0.25,133,180,7.78,10.11,39.3,FALSE,,,,,,,,,,
2/22/2017,LIS,11:45,1,10.4,0.24,52.5,72.7,7.75,11.03,51.3,FALSE,,,,,,,,,,
3/9/2017,LIS,14:36,1,12.4,0.26,115,151,7.62,10.35,35.3,FALSE,,,,,,,,,,
3/14/2017,LIS,15:42,1,19.1,0.39,396,447,8.25,11.58,22.1,FALSE,,,,,,,,,,
3/22/2017,LIS,14:22,1,15.1,0.37,175,215,8,9.5,22.3,FALSE,,,,,,,,,,
4/5/2017,LIS,14:17,1,17.5,0.31,446,521,8.31,9.01,31.3,FALSE,,,,,,,,,,
4/18/2017,LIS,14:09,1,14.2,0.46,99,124,7.65,10,21.1,FALSE,,,,,,,,,,
4/26/2017,LIS,12:03,1,15.9,0.43,96,117,7.54,10.75,17.4,FALSE,,,,,,,,,,
5/3/2017,LIS,12:39,1,19.4,0.6,127,142,8.27,9.79,11.1,FALSE,,,,,,,,,,
5/16/2017,LIS,12:45,1,19.2,0.21,535,603,7.9,6.67,48.3,FALSE,,,,,,,,,,
5/30/2017,LIS,10:08,,22.4,0.19,590,621,7.9,6.14,46.6,FALSE,,,,,,,,,,
6/12/2017,LIS,12:14,1,20.9,0.19,589,640,7.74,0,54.5,FALSE,,,,,,,,,,
6/21/2017,LIS,9:12,,27.1,,599,576,7.69,3.72,46.4,FALSE,,,,,,,,,,
6/28/2017,LIS,8:50,1,23,0.15,622,647,7.79,5.19,61.8,TRUE,2229,0.06,1682,0.12,1110,0.2,554,0.62,22.3,
7/7/2017,LIS,11:47,1,25.6,,719,711,8.08,5.52,76.5,TRUE,2443,0.03,1831,0.14,1223,0.28,613,0.81,24.5,
7/19/2017,LIS,8:34,1,24.4,0.14,413,418,8.02,5.49,84.4,TRUE,2071,0.07,1522,0.09,1122,0.16,519,0.5,23.05,
8/2/2017,LIS,8:51,1,24.9,0.18,314,315,7.94,5.78,56.2,TRUE,2080,0.07,1566,0.12,1038,0.23,521,0.7,20.2,
8/16/2017,LIS,8:35,,22.4,0.18,317,333,8.28,7.54,45.1,TRUE,2059,0.09,1567,0.13,1023,0.22,509,0.78,19.66,
8/30/2017,LIS,8:59,1,24.7,0.18,327,329,8.09,6.7,54.2,TRUE,2233,0.08,1673.8,0.15,1117,0.24,555.7,0.76,22.38,
9/13/2017,LIS,13:06,1,25.1,0.17,690,688,8.25,6.11,30.2,TRUE,2381,0.02,1788,0.09,1198,0.34,589,1.04,23.6,
9/20/2017,LIS,12:41,1,23.1,0.22,607,643,8.11,8.29,38.2,FALSE,,,,,,,,,,
10/4/2017,LIS,12:31,,18.8,0.24,174,198,7.74,7.74,29.5,FALSE,2381,0.02,1788,0.09,1198,0.34,589,1.04,23.6,
10/16/2017,LIS,11:10,,15.4,0.33,148,182,7.45,7.08,22.1,FALSE,,,,,,,,,,
10/19/2017,LIS,10:23,,15.5,0.33,154,189,7.43,7.62,35.1,FALSE,,,,,,,,,,
11/2/2017,LIS,11:36,,15.9,0.24,168,204,7.72,7.46,38.9,FALSE,,,,,,,,,,
11/15/2017,LIS,11:21,,14.3,0.3,192,241,7.54,6.25,25.9,FALSE,,,,,,,,,,
11/29/2017,LIS,11:30,,12.9,0.39,428,557,7.79,8.29,16.2,FALSE,,,,,,,,,,
12/13/2017,LIS,12:21,,9.3,0.81,407,581,8.31,12.52,7.7,FALSE,,,,,,,,,,
12/20/2017,LIS,12:31,,8.7,0.46,455,660,8.09,10.97,12,FALSE,,,,,,,,,,
1/2/2018,LIS,13:06,,8.7,0.37,421,613,7.9,10.23,20,FALSE,,,,,,,,,,
1/17/2018,LIS,15:00,,11.6,0.24,440,591,7.65,6.91,38.1,FALSE,,,,,,,,,,
1/30/2018,LIS,13:05,,10.9,0.22,491,671,7.81,8.84,43.5,FALSE,,,,,,,,,,
2/13/2018,LIS,11:24,,10.4,0.27,569,790,7.99,9.55,30.1,FALSE,,,,,,,,,,
2/28/2018,LIS,12:19,,9.6,0.26,679,962,8.33,11.08,26,FALSE,,,,,,,,,,
3/14/2018,LIS,12:20,,15.1,0.25,641,791,7.94,7.87,33.4,FALSE,,,,,,,,,,
3/28/2018,LIS,12:14,,15.5,0.2,601,734,8.05,8.58,39.7,FALSE,,,,,,,,,,
4/10/2018,LIS,15:17,,16,0.15,109,131,7.54,8,100.5,FALSE,,,,,,,,,,
4/25/2018,LIS,12:59,,21.6,0.31,712,760,8.05,7.54,22.1,FALSE,,,,,,,,,,
5/1/2018,LIS,12:05,,18.9,0.25,656,742,7.93,6.77,27.2,FALSE,,,,,,,,,,
5/15/2018,LIS,11:27,,19.6,0.24,636,708,8.09,6.79,35.6,FALSE,,,,,,,,,,
5/30/2018,LIS,13:00,1,22.5,0.22,741,778,8.11,7.48,40,FALSE,,,,,,,,,,
6/12/2018,LIS,12:38,,24.1,0.17,417,425,8,6.87,53.8,FALSE,,,,,,,,,,
6/26/2018,LIS,12:01,1,25,0.2,267,267,7.89,7.5,44.8,FALSE,,,,,,,,,,
7/10/2018,LIS,14:07,1,25.8,0.25,251,246,8.01,7.31,32.4,TRUE,2463,0.05,1839,0.19,1231.5,0.42,616,1.26,24.7,
7/26/2018,LIS,13:11,1,26.6,0.24,231,224,8.12,7.45,33.7,FALSE,,,,,,,,,,
8/2/2018,LIS,12:12,1,24.5,0.29,214,216,8.16,7.58,29,FALSE,,,,,,,,,,
8/8/2018,LIS,12:06,1,23.4,0.23,237,244,7.95,7.06,31.3,TRUE,2335,0.05,1770,0.17,1167,0.36,586,1.14,23.4,
8/13/2018,LIS,11:11,1,24.5,0.35,267,270,8.1,7.23,25.3,FALSE,,,,,,,,,,
8/22/2018,LIS,9:08,1,21.5,0.25,256,275,7.96,7.28,30.4,TRUE,2209,0.04,1652,0.14,1106,0.31,553,1.1,22.27,
8/30/2018,LIS,14:12,1,22,0.51,539,572,7.54,4.08,12.7,TRUE,2615,0.09,1963,0.23,1303,0.52,656,1.92,28.9,
9/4/2018,LIS,9:26,1,21.8,0.42,512,546,7.47,4.38,16,TRUE,2076,0.03,1550,0.09,1027,0.31,516,1.47,22.8,
9/13/2018,LIS,13:08,1,21.4,0.36,546,586,7.73,4.98,22.3,TRUE,2234,0.06,1677,0.24,1115,0.5,556,1.36,22.5,
9/19/2018,LIS,9:14,1,20,0.35,537,594,7.53,5.39,18.3,TRUE,2237,0.09,1734,0.21,1192,0.44,558,1.35,22.05,
9/27/2018,LIS,12:15,1,21.2,0.38,602,649,7.78,5.49,19.7,TRUE,2334,0.06,1752,0.21,1168,0.47,585,1.62,23.33,
10/4/2018,LIS,12:08,1,20.9,0.24,369,400,8.12,6.2,31.5,TRUE,3000,0.03,2203,0.08,1525,0.24,765.5,1.13,31.66,
10/10/2018,LIS,8:45,1,18.4,0.28,257,294,8.11,7.36,32.3,TRUE,2000,0.05,1507,0.12,999,0.29,500.5,1.23,20.2,
10/18/2018,LIS,11:52,1,16.8,0.49,232,274,7.66,6.33,19.6,TRUE,2209,0.06,1654,0.22,1108,0.56,552,1.81,22.1,
10/25/2018,LIS,13:28,1,18.1,0.2,240,277,7.71,5.42,46.7,TRUE,2321,0.07,1759,0.14,1174,0.3,573.9,1.15,28.44,
11/1/2018,LIS,11:52,1,15.9,0.25,257,311,7.8,7.42,39.8,TRUE,2353,0.07,1760.1,0.18,1179,0.31,583.7,0.95,23.75,
11/8/2018,LIS,12:27,1,14.2,0.17,264,333,7.97,8.19,41.2,FALSE,,,,,,,,,,
11/26/2018,LIS,9:13,1,11.8,0.6,370,495,7.6,7.57,14.6,FALSE,,,,,,,,,,
12/11/2018,LIS,13:30,1,10.9,0.38,439,601,8.75,7.75,20.7,FALSE,,,,,,,,,,
12/26/2018,LIS,11:48,1,10.4,0.28,438,606,6,6.54,28.1,FALSE,,,,,,,,,,
1/8/2019,LIS,13:59,1,9.1,0.12,313,451,7.65,9.12,98.9,FALSE,,,,,,,,,,
1/22/2019,LIS,14:29,1,10.6,0.11,276,381,7.62,8.17,134.4,FALSE,,,,,,,,,,
2/5/2019,LIS,14:50,1,10.4,0.09,298,413,7.89,8.31,153.2,FALSE,,,,,,,,,,
2/19/2019,LIS,14:31,1,9,0.11,82,119,7.89,10.61,92.2,FALSE,,,,,,,,,,
2/26/2019,LIS,12:56,1,9.7,0.17,222,314,8.28,9.79,82.2,FALSE,,,,,,,,,,
3/11/2019,LIS,14:41,1,12.2,0.16,105,140,,9.59,71,FALSE,,,,,,,,,,
3/20/2019,LIS,14:20,1,14.6,0.33,208,260,7.94,9.7,23.7,FALSE,,,,,,,,,,
3/28/2019,LIS,12:52,1,14.7,0.29,372,463,8.28,9.74,27.6,FALSE,,,,,,,,,,
4/3/2019,LIS,14:31,1,15.3,0.34,213,261,8.9,9.67,26.2,FALSE,,,,,,,,,,
4/8/2019,LIS,11:56,1,16.2,0.39,124,149,8.26,9.87,18.7,FALSE,,,,,,,,,,
4/15/2019,LIS,13:33,1,12.7,0.3,149,194,7.78,9.9,27.3,FALSE,,,,,,,,,,
4/22/2019,LIS,12:15,1,21.5,0.23,448,480,8.71,13.05,18.8,FALSE,,,,,,,,,,
5/6/2019,LIS,12:35,1,19.8,0.19,582,646,7.52,6.79,43.9,FALSE,,,,,,,,,,
5/20/2019,LIS,13:12,1,16.7,0.22,434,515,7.81,7.52,43.9,FALSE,,,,,,,,,,
6/3/2019,LIS,11:45,1,24.4,0.23,573,580,7.8,5.21,39.3,FALSE,,,,,,,,,,
6/17/2019,LIS,11:47,1,23.5,0.2,652,671,8.01,5.28,53.4,FALSE,,,,,,,,,,
7/1/2019,LIS,11:09,1,23.6,0.2,800,822,8.28,6.11,50.7,FALSE,,,,,,,,,,
7/15/2019,LIS,11:07,1,25.3,0.2,723,718,8.06,5.47,39.4,FALSE,,,,,,,,,,
8/6/2019,LIS,11:28,1,25.1,0.21,527,526,7.98,5.31,49.9,TRUE,2468,0.07,1847,0.2,1238,0.35,619,0.95,25.8,
8/20/2019,LIS,11:23,1,24.1,0.25,449,458,8.31,7.86,47.8,TRUE,2311,0.09,1731,0.19,1110,0.32,588,0.95,22.1,
9/3/2019,LIS,11:18,1,24.4,0.22,533,540,7.86,4.51,39.5,TRUE,2379,0.07,1782,0.15,1186,0.29,595.9,0.96,23.75,
9/3/2019,LIS,11:30,1,24.4,0.22,533,540,7.86,4.51,39.5,FALSE,,,,,,,,,,
9/17/2019,LIS,10:14,1,21.6,0.28,562,601,7.52,5.24,27.8,TRUE,2211,0.06,1659.2,0.16,1102.4,0.54,557.9,1.25,21.11,
