"","Date","Station.Code","WY","WY.Class","daily.CPUE"
"1",2016-10-04,"STTD","WY17","Wet",13664.7610499756
"2",2016-10-05,"SHR","WY17","Wet",67.5580592833882
"3",2016-10-18,"STTD","WY17","Wet",4745.14768306016
"4",2016-10-19,"SHR","WY17","Wet",120.391397015574
"5",2016-10-31,"STTD","WY17","Wet",5238.32738574094
"6",2016-11-01,"SHR","WY17","Wet",2213.82086246275
"7",2016-11-14,"STTD","WY17","Wet",2922.43854808363
"8",2016-11-18,"SHR","WY17","Wet",215.365610553397
"9",2016-11-28,"STTD","WY17","Wet",20428.3889179276
"10",2016-11-29,"SHR","WY17","Wet",1000.86889751488
"11",2016-12-13,"STTD","WY17","Wet",2090.01063819423
"12",2016-12-14,"SHR","WY17","Wet",469.185935030961
"13",2016-12-21,"SHR","WY17","Wet",1022.56406129326
"14",2016-12-21,"STTD","WY17","Wet",3462.14592095859
"15",2016-12-27,"STTD","WY17","Wet",3474.33001314876
"16",2016-12-29,"SHR","WY17","Wet",506.822636290774
"17",2017-01-10,"SHR","WY17","Wet",1849.837425435
"18",2017-01-11,"STTD","WY17","Wet",2538.61029828763
"19",2017-01-18,"STTD","WY17","Wet",681.859333971869
"20",2017-01-23,"SHR","WY17","Wet",421.79518807653
"21",2017-01-24,"STTD","WY17","Wet",217.257613553508
"22",2017-02-02,"STTD","WY17","Wet",501.38555048995
"23",2017-02-06,"STTD","WY17","Wet",488.099602338517
"24",2017-02-07,"SHR","WY17","Wet",452.973073062916
"25",2017-02-16,"STTD","WY17","Wet",260.090652291199
"26",2017-02-22,"STTD","WY17","Wet",351.936757194588
"27",2017-02-23,"SHR","WY17","Wet",128.976532181475
"28",2017-03-08,"SHR","WY17","Wet",400.43572844112
"29",2017-03-09,"STTD","WY17","Wet",184.293689928442
"30",2017-03-14,"STTD","WY17","Wet",3418.26799104724
"31",2017-03-21,"SHR","WY17","Wet",2507.58232677036
"32",2017-03-22,"STTD","WY17","Wet",7246.67661356507
"33",2017-03-28,"STTD","WY17","Wet",3606.41731588679
"34",2017-04-04,"SHR","WY17","Wet",3135.08750310299
"35",2017-04-05,"STTD","WY17","Wet",10266.7690812141
"36",2017-04-13,"STTD","WY17","Wet",8731.96878471222
"37",2017-04-18,"STTD","WY17","Wet",746.593968257849
"38",2017-04-19,"SHR","WY17","Wet",475.197158283018
"39",2017-04-26,"STTD","WY17","Wet",595.65693514209
"40",2017-05-04,"SHR","WY17","Wet",7836.84561331084
"41",2017-05-05,"STTD","WY17","Wet",24838.4405481858
"42",2017-05-09,"STTD","WY17","Wet",85720.6630242411
"43",2017-05-16,"STTD","WY17","Wet",201447.12980256
"44",2017-05-17,"SHR","WY17","Wet",13228.9857090046
"45",2017-05-30,"STTD","WY17","Wet",286500.308176083
"46",2017-05-31,"SHR","WY17","Wet",35651.7366826728
"47",2017-06-12,"STTD","WY17","Wet",62808.9876671111
"48",2017-06-13,"SHR","WY17","Wet",1735.81592783211
"49",2017-06-27,"SHR","WY17","Wet",501.489374492586
"50",2017-06-28,"STTD","WY17","Wet",824.607713835339
"51",2017-07-06,"STTD","WY17","Wet",1066.35588167471
"52",2017-07-18,"SHR","WY17","Wet",993.080262181295
"53",2017-07-19,"STTD","WY17","Wet",979.021635028875
"54",2017-08-01,"SHR","WY17","Wet",237.523418447778
"55",2017-08-02,"STTD","WY17","Wet",14919.8205455434
"56",2017-08-15,"SHR","WY17","Wet",326.429693394012
"57",2017-08-16,"STTD","WY17","Wet",183060.911744734
"58",2017-08-29,"SHR","WY17","Wet",224.47575058759
"59",2017-08-30,"STTD","WY17","Wet",16561.3760548074
"60",2017-09-12,"SHR","WY17","Wet",223.419478754485
"61",2017-09-13,"STTD","WY17","Wet",19972.1636864195
"62",2017-09-19,"SHR","WY17","Wet",285.002321125869
"63",2017-09-20,"STTD","WY17","Wet",4407.88638504573
"64",2017-10-03,"SHR","WY18","Average",277.626030635501
"65",2017-10-04,"STTD","WY18","Average",4248.49911469117
"66",2017-10-17,"SHR","WY18","Average",118.052654755161
"67",2017-10-19,"STTD","WY18","Average",1143.74903174975
"68",2017-11-01,"SHR","WY18","Average",445.537875701872
"69",2017-11-02,"STTD","WY18","Average",4995.44715362236
"70",2017-11-14,"SHR","WY18","Average",3502.1135519624
"71",2017-11-15,"STTD","WY18","Average",1120.14815488061
"72",2017-11-28,"SHR","WY18","Average",3868.85486231514
"73",2017-11-29,"STTD","WY18","Average",3321.09674889676
"74",2017-12-13,"STTD","WY18","Average",530.236443610955
"75",2017-12-14,"SHR","WY18","Average",503.388450685437
"76",2017-12-19,"SHR","WY18","Average",57.569519968692
"77",2017-12-20,"STTD","WY18","Average",537.55484327014
"78",2018-01-02,"STTD","WY18","Average",52252.3090607802
"79",2018-01-04,"SHR","WY18","Average",545.388745547902
"80",2018-01-17,"STTD","WY18","Average",89896.9605172709
"81",2018-01-18,"SHR","WY18","Average",1174.71024419824
"82",2018-01-30,"STTD","WY18","Average",11044.7259174288
"83",2018-01-31,"SHR","WY18","Average",773.526768968203
"84",2018-02-13,"STTD","WY18","Average",11045.4931990103
"85",2018-02-27,"SHR","WY18","Average",2993.11855001807
"86",2018-02-28,"STTD","WY18","Average",24884.9227252003
"87",2018-03-13,"SHR","WY18","Average",394.512537685228
"88",2018-03-14,"STTD","WY18","Average",29117.1225926532
"89",2018-03-28,"STTD","WY18","Average",27090.9408545225
"90",2018-03-29,"SHR","WY18","Average",2487.32900389104
"91",2018-04-10,"STTD","WY18","Average",13561.6275960353
"92",2018-04-11,"SHR","WY18","Average",1555.28745177634
"93",2018-04-24,"SHR","WY18","Average",1649.63979549663
"94",2018-04-25,"STTD","WY18","Average",269211.414021591
"95",2018-05-01,"STTD","WY18","Average",24980.1297673836
"96",2018-05-02,"SHR","WY18","Average",525.980311876171
"97",2018-05-15,"STTD","WY18","Average",1760.27718431722
"98",2018-05-16,"SHR","WY18","Average",891.732900331185
"99",2018-05-29,"SHR","WY18","Average",1261.00484342621
"100",2018-05-30,"STTD","WY18","Average",568.757721696413
"101",2018-06-12,"STTD","WY18","Average",598.230696299182
"102",2018-06-13,"SHR","WY18","Average",324.925981307734
"103",2018-06-26,"STTD","WY18","Average",1797.78267902795
"104",2018-06-27,"SHR","WY18","Average",470.804707507632
"105",2018-07-12,"SHR","WY18","Average",680.420325908927
"106",2018-07-25,"SHR","WY18","Average",173.857659751566
"107",2018-07-26,"STTD","WY18","Average",2828.04938630173
"108",2018-08-02,"STTD","WY18","Average",3568.51546812526
"109",2018-08-08,"STTD","WY18","Average",2198.60921491401
"110",2018-08-09,"SHR","WY18","Average",182.41561308128
"111",2018-08-13,"STTD","WY18","Average",3172.98264289232
"112",2018-08-22,"STTD","WY18","Average",3769.36104473801
"113",2018-08-23,"SHR","WY18","Average",296.165898283868
"114",2018-08-30,"STTD","WY18","Average",25114.5894760422
"115",2018-09-05,"STTD","WY18","Average",5487.4674278971
"116",2018-09-06,"SHR","WY18","Average",287.521954506265
"117",2018-09-13,"STTD","WY18","Average",3986.39678440394
"118",2018-09-19,"STTD","WY18","Average",1901.77496731941
"119",2018-09-20,"SHR","WY18","Average",308.784096292595
"120",2018-09-27,"STTD","WY18","Average",3029.40140482622
"121",2018-10-04,"STTD","WY19","Wet",1967.89973833682
"122",2018-10-10,"STTD","WY19","Wet",738.516351596937
"123",2018-10-11,"SHR","WY19","Wet",172.931557087115
"124",2018-10-18,"STTD","WY19","Wet",677.896300182305
"125",2018-10-25,"STTD","WY19","Wet",1244.48107057368
"126",2018-10-26,"SHR","WY19","Wet",75.4857007012134
"127",2018-11-01,"STTD","WY19","Wet",1933.7464797489
"128",2018-11-08,"STTD","WY19","Wet",1111.35778976972
"129",2018-11-09,"SHR","WY19","Wet",143.163049243537
"130",2018-11-26,"STTD","WY19","Wet",596.743872183417
"131",2018-11-27,"SHR","WY19","Wet",3226.28373997537
"132",2018-12-11,"STTD","WY19","Wet",4699.8646399415
"133",2018-12-12,"SHR","WY19","Wet",1322.55185141712
"134",2018-12-26,"STTD","WY19","Wet",2685.02013560427
"135",2018-12-27,"SHR","WY19","Wet",976.052017722852
"136",2019-01-08,"STTD","WY19","Wet",4645.74681125638
"137",2019-01-09,"SHR","WY19","Wet",1048.36370857747
"138",2019-01-22,"STTD","WY19","Wet",715.566791093533
"139",2019-01-23,"SHR","WY19","Wet",784.450702622955
"140",2019-02-04,"SHR","WY19","Wet",1418.31082863944
"141",2019-02-05,"STTD","WY19","Wet",6863.32859021304
"142",2019-02-19,"STTD","WY19","Wet",743.694880648077
"143",2019-02-20,"SHR","WY19","Wet",1298.05720874635
"144",2019-02-26,"STTD","WY19","Wet",667.734447364547
"145",2019-02-27,"SHR","WY19","Wet",96.8088784766664
"146",2019-03-11,"STTD","WY19","Wet",567.825608723032
"147",2019-03-12,"SHR","WY19","Wet",236.992620883258
"148",2019-03-20,"STTD","WY19","Wet",1134.35119929841
"149",2019-03-21,"SHR","WY19","Wet",786.028546272742
"150",2019-03-28,"STTD","WY19","Wet",20600.5581958618
"151",2019-03-29,"SHR","WY19","Wet",2820.38534227676
"152",2019-04-03,"STTD","WY19","Wet",4768.20867369374
"153",2019-04-04,"SHR","WY19","Wet",2268.36274706623
"154",2019-04-08,"STTD","WY19","Wet",930.95490925062
"155",2019-04-09,"SHR","WY19","Wet",1450.93725914213
"156",2019-04-15,"STTD","WY19","Wet",827.71185911489
"157",2019-04-16,"SHR","WY19","Wet",2315.25583394341
"158",2019-04-22,"STTD","WY19","Wet",1024.65225724708
"159",2019-04-23,"SHR","WY19","Wet",2270.41012745999
"160",2019-05-06,"STTD","WY19","Wet",12496.5213581972
"161",2019-05-07,"SHR","WY19","Wet",5698.58158543056
"162",2019-05-20,"STTD","WY19","Wet",67574.0191901666
"163",2019-05-21,"SHR","WY19","Wet",3382.05543927172
"164",2019-06-03,"STTD","WY19","Wet",15868.8258371786
"165",2019-06-04,"SHR","WY19","Wet",5005.43478307115
"166",2019-06-17,"STTD","WY19","Wet",2452.13736655036
"167",2019-06-18,"SHR","WY19","Wet",1059.12666148239
"168",2019-07-01,"STTD","WY19","Wet",4702.40976298994
"169",2019-07-02,"SHR","WY19","Wet",720.594091190742
"170",2019-07-15,"STTD","WY19","Wet",4280.2120610725
"171",2019-07-16,"SHR","WY19","Wet",250.360992180175
"172",2019-08-05,"SHR","WY19","Wet",201.394616065003
"173",2019-08-07,"STTD","WY19","Wet",189.612202651233
"174",2019-08-19,"SHR","WY19","Wet",90.606681816371
"175",2019-08-21,"STTD","WY19","Wet",6117.67456981115
"176",2019-09-04,"STTD","WY19","Wet",1446.64829906084
"177",2019-09-05,"SHR","WY19","Wet",119.113605930393
"178",2019-09-16,"SHR","WY19","Wet",254.240142987887
"179",2019-09-18,"STTD","WY19","Wet",888.400147671995
"180",2019-09-30,"SHR","WY19","Wet",314.66445862297
